Date,Ticker,Market Cap,P/E Ratio,Price to Book,ROE (%)
2026-04-28,BBNI.JK,141203257425920,7.06,0.82,11.73
2026-04-28,GOTO.JK,56286540464128,N/A,1.77,-5.08
2026-04-28,TLKM.JK,279355460681728,12.86,2.04,18.31
2026-04-29,BBCA.JK,735002853638144,12.8,2.83,22.97
2026-04-29,BMRI.JK,413466670137344,7.34,1.35,21.04
2026-04-29,BBNI.JK,141575829061632,7.08,0.82,11.73
2026-04-29,GOTO.JK,58410561175552,N/A,1.84,-5.08
2026-04-29,TLKM.JK,284308581384192,13.08,2.07,18.31
2026-04-30,BBCA.JK,719626199629824,12.52,2.77,22.97
2026-04-30,BMRI.JK,409733336924160,7.28,1.34,21.04
2026-04-30,BBNI.JK,138595289530368,6.93,0.81,11.73
2026-04-30,GOTO.JK,57348550819840,N/A,1.8,-3.29
2026-04-30,TLKM.JK,278364833185792,12.82,2.03,18.31
2026-05-01,BBCA.JK,719626199629824,12.53,2.77,22.97
2026-05-01,BMRI.JK,409733336924160,7.28,1.34,21.04
2026-05-01,BBNI.JK,138595289530368,6.83,0.81,12.03
2026-05-01,GOTO.JK,57348550819840,N/A,1.79,-3.29
2026-05-01,TLKM.JK,278364833185792,12.82,2.03,18.31
2026-05-04,BBCA.JK,724969810034688,12.64,2.8,22.97
2026-05-04,BMRI.JK,412533320056832,7.33,1.35,21.04
2026-05-04,BBNI.JK,143066098827264,7.05,0.83,12.03
2026-05-04,GOTO.JK,54162519752704,N/A,1.69,-3.29
2026-05-04,TLKM.JK,286289802821632,13.19,2.09,18.31
2026-05-05,BBCA.JK,724969810034688,12.63,2.8,22.97
2026-05-05,BMRI.JK,412533320056832,7.33,1.35,21.04
2026-05-05,BBNI.JK,143066098827264,6.83,0.83,12.03
2026-05-05,GOTO.JK,54162519752704,N/A,1.69,-3.29
2026-05-05,TLKM.JK,286289802821632,13.18,2.09,18.31
2026-05-06,BBCA.JK,731113626533888,12.74,2.82,22.97
2026-05-06,BMRI.JK,420933336563712,7.48,1.38,21.04
2026-05-06,BBNI.JK,142693543968768,7.03,0.83,12.03
2026-05-06,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-06,TLKM.JK,287280430317568,13.23,2.09,18.31
2026-05-07,BBCA.JK,764904617279488,13.33,2.95,22.97
2026-05-07,BMRI.JK,433066652729344,7.69,1.42,21.04
2026-05-07,BBNI.JK,148282051395584,7.3,0.86,12.03
2026-05-07,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-07,TLKM.JK,290252312805376,13.36,2.12,18.31
2026-05-08,BBCA.JK,758760800780288,13.23,2.93,22.97
2026-05-08,BMRI.JK,432133336203264,7.68,1.42,21.04
2026-05-08,BBNI.JK,143811242098688,7.08,0.84,12.03
2026-05-08,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-08,TLKM.JK,293224161738752,13.51,2.14,18.31
2026-05-11,BBCA.JK,755688892530688,13.17,2.92,22.97
2026-05-11,BMRI.JK,396666670678016,7.04,1.3,21.04
2026-05-11,BBNI.JK,142320972333056,7.01,0.83,12.03
2026-05-11,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-11,TLKM.JK,293224161738752,13.5,2.14,18.31
2026-05-12,BBCA.JK,752616984281088,13.12,2.9,22.97
2026-05-12,BMRI.JK,395733320597504,7.03,1.3,21.04
2026-05-12,BBNI.JK,145674083500032,7.17,0.85,12.03
2026-05-12,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-12,TLKM.JK,292233534242816,13.45,2.13,18.31
2026-05-13,BBCA.JK,749545076031488,13.07,2.89,22.97
2026-05-13,BMRI.JK,391999987384320,6.96,1.28,21.04
2026-05-13,BBNI.JK,144183813734400,7.1,0.84,12.03
2026-05-13,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-13,TLKM.JK,293224161738752,16.45,2.14,15.63
2026-05-14,BBCA.JK,749545076031488,13.05,2.89,22.97
2026-05-14,BMRI.JK,391999987384320,6.96,1.28,21.04
2026-05-14,BBNI.JK,144183813734400,7.1,0.84,12.03
2026-05-14,GOTO.JK,53100509396992,N/A,1.66,-3.29
2026-05-14,TLKM.JK,293197687291904,16.45,2.14,15.63
2026-05-15,BBCA.JK,749545076031488,13.05,2.89,22.97
2026-05-15,BMRI.JK,391999987384320,6.96,1.28,21.04
2026-05-15,BBNI.JK,144183813734400,7.1,0.89,12.03
2026-05-15,GOTO.JK,53100509396992,N/A,1.66,-3.29
